probability_up,signal
0.51589143,HOLD
0.45010188,HOLD
0.5046589,HOLD
0.5185881,HOLD
0.4894739,HOLD
0.43745083,HOLD
0.4923173,HOLD
0.53627473,HOLD
0.5197655,HOLD
0.53174686,HOLD
0.5055481,HOLD
0.50479716,HOLD
0.5469511,HOLD
0.48901075,HOLD
0.510602,HOLD
0.5075577,HOLD
0.51840097,HOLD
0.5597905,HOLD
0.5504512,HOLD
0.5257595,HOLD
0.53962517,HOLD
0.53440106,HOLD
0.51697004,HOLD
0.5289348,HOLD
0.54726565,HOLD
0.5502418,HOLD
0.5496475,HOLD
0.5122931,HOLD
0.651699,BUY
0.54016966,HOLD
0.5299031,HOLD
0.5468023,HOLD
0.5309829,HOLD
0.53957474,HOLD
0.5033965,HOLD
0.5771242,HOLD
0.515391,HOLD
0.5189385,HOLD
0.5435752,HOLD
0.5333703,HOLD
0.540425,HOLD
0.5506708,HOLD
0.5560417,HOLD
0.5449912,HOLD
0.53306395,HOLD
0.5085093,HOLD
0.6172633,BUY
0.5151162,HOLD
0.55531245,HOLD
0.5161076,HOLD
0.4963939,HOLD
0.5362916,HOLD
0.49350572,HOLD
0.53917503,HOLD
0.5296775,HOLD
0.5178895,HOLD
0.557828,HOLD
0.5332765,HOLD
0.51743203,HOLD
0.5288333,HOLD
0.5177801,HOLD
0.52807873,HOLD
0.5055298,HOLD
0.5394067,HOLD
0.5403594,HOLD
0.510962,HOLD
0.5281653,HOLD
0.5167611,HOLD
0.5382289,HOLD
0.40995166,HOLD
0.5423686,HOLD
0.5426489,HOLD
0.56845456,HOLD
0.52059776,HOLD
0.5085487,HOLD
0.5284514,HOLD
0.5022332,HOLD
0.54233193,HOLD
0.535926,HOLD
0.50054294,HOLD
0.5128389,HOLD
0.56879056,HOLD
0.49067825,HOLD
0.54058164,HOLD
0.535668,HOLD
0.55346984,HOLD
0.52426386,HOLD
0.48096815,HOLD
0.4568784,HOLD
0.54005754,HOLD
0.49940395,HOLD
0.5445915,HOLD
0.49962157,HOLD
0.5445915,HOLD
0.5115622,HOLD
0.534014,HOLD
0.54769456,HOLD
0.48069695,HOLD
0.5241911,HOLD
0.4308717,HOLD
0.56371266,HOLD
0.51375604,HOLD
0.5643048,HOLD
0.50139785,HOLD
0.502222,HOLD
0.5400509,HOLD
0.5177961,HOLD
0.5255407,HOLD
0.495605,HOLD
0.49966538,HOLD
0.5403393,HOLD
0.49177712,HOLD
0.54242647,HOLD
0.5140788,HOLD
0.5124506,HOLD
0.5314284,HOLD
0.45177197,HOLD
0.5291133,HOLD
0.5179301,HOLD
0.51967883,HOLD
0.51812273,HOLD
0.51809514,HOLD
0.5415616,HOLD
0.516126,HOLD
0.49907422,HOLD
0.52674264,HOLD
0.52959174,HOLD
0.5340926,HOLD
0.51194143,HOLD
0.5422987,HOLD
0.5579439,HOLD
0.46956548,HOLD
0.59242463,HOLD
0.543458,HOLD
0.46146262,HOLD
0.6067515,BUY
0.5988751,HOLD
0.5656218,HOLD
0.6531139,BUY
0.5206576,HOLD
0.35663337,SELL
0.58446354,HOLD
0.55010253,HOLD
0.50220376,HOLD
0.48136315,HOLD
0.53908396,HOLD
0.6175553,BUY
0.19916289,SELL
0.5361189,HOLD
0.58611506,HOLD
0.55523556,HOLD
0.4761653,HOLD
0.7258777,BUY
0.43506265,HOLD
0.5303713,HOLD
0.47871757,HOLD
0.26785767,SELL
0.5020062,HOLD
0.54225856,HOLD
0.43913844,HOLD
0.48566142,HOLD
0.4413841,HOLD
0.43420967,HOLD
0.43189526,HOLD
0.47876498,HOLD
0.468559,HOLD
0.57581913,HOLD
0.50427985,HOLD
0.49351633,HOLD
0.34635264,SELL
0.539861,HOLD
0.54754263,HOLD
0.49593854,HOLD
0.5175517,HOLD
0.53991514,HOLD
0.5267848,HOLD
0.538734,HOLD
0.5275838,HOLD
0.5705034,HOLD
0.47497842,HOLD
0.5421154,HOLD
0.55542874,HOLD
0.4963879,HOLD
0.5705034,HOLD
0.49138096,HOLD
0.49926776,HOLD
0.33196783,SELL
0.53796196,HOLD
0.3980055,SELL
0.40518805,HOLD
0.53970593,HOLD
0.48711595,HOLD
0.49405098,HOLD
0.5592654,HOLD
0.46639395,HOLD
0.48418257,HOLD
0.51995754,HOLD
0.5323066,HOLD
0.5566955,HOLD
0.48596638,HOLD
0.57277983,HOLD
0.51208997,HOLD
0.511953,HOLD
0.5376166,HOLD
0.4987424,HOLD
0.5498223,HOLD
0.50115055,HOLD
0.5032311,HOLD
0.48658654,HOLD
0.4828849,HOLD
0.51409113,HOLD
0.5397076,HOLD
0.5195129,HOLD
0.46920282,HOLD
0.5198157,HOLD
0.55844945,HOLD
0.51448566,HOLD
0.5546731,HOLD
0.46415117,HOLD
0.53162307,HOLD
0.5445866,HOLD
0.51032186,HOLD
0.55150914,HOLD
0.60219634,BUY
0.4839229,HOLD
0.51927054,HOLD
0.554899,HOLD
0.5185649,HOLD
0.5185649,HOLD
0.503815,HOLD
0.5208242,HOLD
0.55892736,HOLD
0.5199288,HOLD
0.5013471,HOLD
0.51264095,HOLD
0.5092924,HOLD
0.5461263,HOLD
0.5183455,HOLD
0.57888263,HOLD
0.53308076,HOLD
0.5487612,HOLD
0.5300815,HOLD
0.55086774,HOLD
0.5140211,HOLD
0.5454943,HOLD
0.4990181,HOLD
0.5498223,HOLD
0.4948006,HOLD
0.50747573,HOLD
0.56072253,HOLD
0.5128049,HOLD
0.5120478,HOLD
0.5162989,HOLD
0.51796275,HOLD
0.5478062,HOLD
0.50007266,HOLD
0.58115494,HOLD
0.51127934,HOLD
0.47229886,HOLD
0.49109557,HOLD
0.52792054,HOLD
0.528578,HOLD
0.47993284,HOLD
0.5041998,HOLD
0.51564336,HOLD
0.5104055,HOLD
0.41228107,HOLD
0.5362257,HOLD
0.52594024,HOLD
0.5139036,HOLD
0.53939474,HOLD
0.55409336,HOLD
0.51559997,HOLD
0.5275687,HOLD
0.5119827,HOLD
0.4849107,HOLD
0.52799195,HOLD
0.58672655,HOLD
0.5246814,HOLD
0.53360903,HOLD
0.5293145,HOLD
0.53976965,HOLD
0.5613713,HOLD
0.5369159,HOLD
0.5086266,HOLD
0.57935274,HOLD
0.49989894,HOLD
0.5137827,HOLD
0.50589585,HOLD
0.54232645,HOLD
0.5033096,HOLD
0.5417251,HOLD
0.49121383,HOLD
0.48678678,HOLD
0.50188327,HOLD
0.5532367,HOLD
0.5165376,HOLD
0.5242642,HOLD
0.62077683,BUY
0.5189321,HOLD
0.51149833,HOLD
0.52107084,HOLD
0.5487609,HOLD
0.4687461,HOLD
0.5388354,HOLD
0.5443549,HOLD
0.51885164,HOLD
0.51955485,HOLD
0.5276301,HOLD
0.53456646,HOLD
0.5077699,HOLD
0.5090526,HOLD
0.52076405,HOLD
0.5213289,HOLD
0.5077356,HOLD
0.52192605,HOLD
0.52671665,HOLD
0.51481086,HOLD
0.51976854,HOLD
0.52590984,HOLD
0.54215354,HOLD
0.5337251,HOLD
0.53524363,HOLD
0.5182794,HOLD
0.52441216,HOLD
0.4991497,HOLD
0.5221626,HOLD
0.54795545,HOLD
0.5532615,HOLD
0.51606524,HOLD
0.5408131,HOLD
0.5097858,HOLD
0.5225786,HOLD
0.51786375,HOLD
0.545173,HOLD
0.52933466,HOLD
0.5114548,HOLD
0.53337055,HOLD
0.53686357,HOLD
0.5310597,HOLD
0.5254916,HOLD
0.5397761,HOLD
0.5307662,HOLD
0.49643654,HOLD
0.529691,HOLD
0.5351289,HOLD
0.5145561,HOLD
0.52623147,HOLD
0.50785136,HOLD
0.5336829,HOLD
0.5293549,HOLD
0.51567,HOLD
0.5163858,HOLD
0.51481014,HOLD
0.5222777,HOLD
0.5176465,HOLD
0.47744796,HOLD
0.46853116,HOLD
0.47548255,HOLD
0.47668532,HOLD
0.5658979,HOLD
0.5355403,HOLD
0.5325936,HOLD
0.5424283,HOLD
0.52802944,HOLD
0.49905175,HOLD
0.49810404,HOLD
0.5493556,HOLD
0.5431197,HOLD
0.5312873,HOLD
0.5136846,HOLD
0.52139753,HOLD
0.51866704,HOLD
0.51280665,HOLD
0.52869445,HOLD
0.52952266,HOLD
0.5258749,HOLD
0.5192202,HOLD
0.54391766,HOLD
0.53166896,HOLD
0.5217714,HOLD
0.52252305,HOLD
0.5491951,HOLD
0.51687586,HOLD
0.5652565,HOLD
0.5156054,HOLD
0.5426388,HOLD
0.511144,HOLD
0.52291846,HOLD
0.5767172,HOLD
0.5129601,HOLD
0.52645534,HOLD
0.55326563,HOLD
0.52033764,HOLD
0.5458515,HOLD
0.53938067,HOLD
0.54238886,HOLD
0.5279107,HOLD
0.5333092,HOLD
